Timestamp,Prodi,Semester,Kuliah online membuat saya lebih fleksibel dalam mengatur waktu belajar.,Saya merasa lebih mudah memahami materi saat kuliah offline dibanding online.,Interaksi dengan dosen lebih efektif saat kuliah offline.,Kuliah offline membantu saya lebih aktif dalam diskusi.,Koneksi internet menjadi kendala utama dalam kuliah online.,Fasilitas kelas kampus mendukung efektivitas belajar saya saat kuliah offline.,Kuliah online membuat saya lebih cepat lelah secara mental dibanding kuliah offline.,Beban tugas saat kuliah online terasa lebih berat.,"Secara keseluruhan, kuliah online efektif bagi saya.",Saya lebih memilih kuliah offline untuk semester berikutnya.,Model hybrid (campuran) lebih efektif dibanding hanya online atau offline.,"Menurut Anda, apa tantangan utama yang menghambat efektivitas belajar saat kuliah online?"
5/6/2026 12:04,Sains Data,2,3,3,3,3,3,3,3,3,3,5,3,-
5/6/2026 12:23,Teknologi Pengolahan Sawit,2,3,5,5,5,5,5,3,5,1,5,4,"tantangan utama saya yang pertama adalah fasilitas kuliah online seperti media elektronik nya, yang kedua adalah kendala jaringan dan yang terakhir adalah kendala dari kegiatan disekitar saya, kegiatan dari masyarakat disekitar saya membuat saya kesulitan untuk mendengarkan paparan materi dari dosen "
5/6/2026 12:26,Sains Data,2,3,3,4,5,4,4,3,3,3,3,3,Koneksi internet 
5/6/2026 12:29,Perencanaan Wilayah dan Kota,3,5,3,3,1,2,4,1,2,5,1,3,tidak ad.
5/6/2026 12:30,Teknik Pertambangan,2,2,2,2,2,2,1,3,3,4,1,2,"1. Kurangnya interaksi langsung

Tanpa tatap muka, komunikasi dengan dosen dan teman jadi terbatas. Diskusi terasa kurang hidup, dan kadang sulit langsung bertanya saat tidak paham.

2. Gangguan di lingkungan rumah

Belajar dari rumah sering bercampur dengan distraksi: suara, keluarga, HP, atau keinginan santai. Ini bikin fokus gampang turun.

3. Motivasi dan disiplin diri

Kuliah online menuntut self-discipline yang tinggi. Tanpa jadwal fisik ke kampus, banyak mahasiswa jadi menunda-nunda atau kurang konsisten.

4. Koneksi internet dan perangkat

Masalah teknis seperti internet tidak stabil atau perangkat kurang memadai bisa menghambat pemahaman materi.

5. Metode pengajaran yang kurang adaptif

Tidak semua dosen langsung bisa menyesuaikan metode mengajar ke format online. Kalau hanya ceramah panjang tanpa interaksi, mahasiswa jadi cepat bosan.

6. Kelelahan digital (zoom fatigue)

Terlalu lama di depan layar bisa bikin cepat lelah, sulit fokus, dan menurunkan daya serap materi."
5/6/2026 12:30,Teknologi Pengolahan Sawit,2,3,5,5,5,4,5,4,3,2,5,3,"1. Jaringan
2. Device (suara kurang jelas, dsb)
3. Suasana 'stay at home' tidak memotivasi diri untuk belajar"
5/6/2026 12:31,Sains Data,2,2,5,5,5,5,5,4,2,3,5,4,Tantangan utama kuliah online adalah rendahnya disiplin diri mahasiswa dan terbatasnya interaksi sosial yang berkualitas akibat hambatan teknis serta kelelahan digital
5/6/2026 12:38,Teknik Sipil,2,3,3,3,3,3,3,3,3,3,3,3,jaringannn
5/6/2026 12:40,Teknologi Pengolahan Sawit,2,4,5,5,4,5,3,3,4,2,5,3,Internet kadang naik turun membuat saat zoom atau gmeet itu terbatas dan terpatah patah serta kadang materinya nggak masuk di kepala kalo sudah masuk materi atau bab sulit
5/6/2026 12:45,Teknik Metalurgi,2,2,5,5,5,4,3,3,3,1,5,2,sinyal ngelag
